,Embarked,class,Age,Fare,isFemale,Survived
0,3,3,22.0,7.25,0,0
1,1,1,38.0,71.2833,1,1
2,3,3,26.0,7.925,1,1
3,3,1,35.0,53.1,1,1
4,3,3,35.0,8.05,0,0
5,2,3,29.69911764705882,8.4583,0,0
6,3,1,54.0,51.8625,0,0
7,3,3,2.0,21.075,0,0
8,3,3,27.0,11.1333,1,1
9,1,2,14.0,30.0708,1,1
10,3,3,4.0,16.7,1,1
11,3,1,58.0,26.55,1,1
12,3,3,20.0,8.05,0,0
13,3,3,39.0,31.275,0,0
14,3,3,14.0,7.8542,1,0
15,3,2,55.0,16.0,1,1
16,2,3,2.0,29.125,0,0
17,3,2,29.69911764705882,13.0,0,1
18,3,3,31.0,18.0,1,0
19,1,3,29.69911764705882,7.225,1,1
20,3,2,35.0,26.0,0,0
21,3,2,34.0,13.0,0,1
22,2,3,15.0,8.0292,1,1
23,3,1,28.0,35.5,0,1
24,3,3,8.0,21.075,1,0
25,3,3,38.0,31.3875,1,1
26,1,3,29.69911764705882,7.225,0,0
27,3,1,19.0,263.0,0,0
28,2,3,29.69911764705882,7.8792,1,1
29,3,3,29.69911764705882,7.8958,0,0
30,1,1,40.0,27.7208,0,0
31,1,1,29.69911764705882,146.5208,1,1
32,2,3,29.69911764705882,7.75,1,1
33,3,2,66.0,10.5,0,0
34,1,1,28.0,82.1708,0,0
35,3,1,42.0,52.0,0,0
36,1,3,29.69911764705882,7.2292,0,1
37,3,3,21.0,8.05,0,0
38,3,3,18.0,18.0,1,0
39,1,3,14.0,11.2417,1,1
40,3,3,40.0,9.475,1,0
41,3,2,27.0,21.0,1,0
42,1,3,29.69911764705882,7.8958,0,0
43,1,2,3.0,41.5792,1,1
44,2,3,19.0,7.8792,1,1
45,3,3,29.69911764705882,8.05,0,0
46,2,3,29.69911764705882,15.5,0,0
47,2,3,29.69911764705882,7.75,1,1
48,1,3,29.69911764705882,21.6792,0,0
49,3,3,18.0,17.8,1,0
50,3,3,7.0,39.6875,0,0
51,3,3,21.0,7.8,0,0
52,1,1,49.0,76.7292,1,1
53,3,2,29.0,26.0,1,1
54,1,1,65.0,61.9792,0,0
55,3,1,29.69911764705882,35.5,0,1
56,3,2,21.0,10.5,1,1
57,1,3,28.5,7.2292,0,0
58,3,2,5.0,27.75,1,1
59,3,3,11.0,46.9,0,0
60,1,3,22.0,7.2292,0,0
61,4,1,38.0,80.0,1,1
62,3,1,45.0,83.475,0,0
63,3,3,4.0,27.9,0,0
64,1,1,29.69911764705882,27.7208,0,0
65,1,3,29.69911764705882,15.2458,0,1
66,3,2,29.0,10.5,1,1
67,3,3,19.0,8.1583,0,0
68,3,3,17.0,7.925,1,1
69,3,3,26.0,8.6625,0,0
70,3,2,32.0,10.5,0,0
71,3,3,16.0,46.9,1,0
72,3,2,21.0,73.5,0,0
73,1,3,26.0,14.4542,0,0
74,3,3,32.0,56.4958,0,1
75,3,3,25.0,7.65,0,0
76,3,3,29.69911764705882,7.8958,0,0
77,3,3,29.69911764705882,8.05,0,0
78,3,2,0.83,29.0,0,1
79,3,3,30.0,12.475,1,1
80,3,3,22.0,9.0,0,0
81,3,3,29.0,9.5,0,1
82,2,3,29.69911764705882,7.7875,1,1
83,3,1,28.0,47.1,0,0
84,3,2,17.0,10.5,1,1
85,3,3,33.0,15.85,1,1
86,3,3,16.0,34.375,0,0
87,3,3,29.69911764705882,8.05,0,0
88,3,1,23.0,263.0,1,1
89,3,3,24.0,8.05,0,0
90,3,3,29.0,8.05,0,0
91,3,3,20.0,7.8542,0,0
92,3,1,46.0,61.175,0,0
93,3,3,26.0,20.575,0,0
94,3,3,59.0,7.25,0,0
95,3,3,29.69911764705882,8.05,0,0
96,1,1,71.0,34.6542,0,0
97,1,1,23.0,63.3583,0,1
98,3,2,34.0,23.0,1,1
99,3,2,34.0,26.0,0,0
100,3,3,28.0,7.8958,1,0
101,3,3,29.69911764705882,7.8958,0,0
102,3,1,21.0,77.2875,0,0
103,3,3,33.0,8.6542,0,0
104,3,3,37.0,7.925,0,0
105,3,3,28.0,7.8958,0,0
106,3,3,21.0,7.65,1,1
107,3,3,29.69911764705882,7.775,0,1
108,3,3,38.0,7.8958,0,0
109,2,3,29.69911764705882,24.15,1,1
110,3,1,47.0,52.0,0,0
111,1,3,14.5,14.4542,1,0
112,3,3,22.0,8.05,0,0
113,3,3,20.0,9.825,1,0
114,1,3,17.0,14.4583,1,0
115,3,3,21.0,7.925,0,0
116,2,3,70.5,7.75,0,0
117,3,2,29.0,21.0,0,0
118,1,1,24.0,247.5208,0,0
119,3,3,2.0,31.275,1,0
120,3,2,21.0,73.5,0,0
121,3,3,29.69911764705882,8.05,0,0
122,1,2,32.5,30.0708,0,0
123,3,2,32.5,13.0,1,1
124,3,1,54.0,77.2875,0,0
125,1,3,12.0,11.2417,0,1
126,2,3,29.69911764705882,7.75,0,0
127,3,3,24.0,7.1417,0,1
128,1,3,29.69911764705882,22.3583,1,1
129,3,3,45.0,6.975,0,0
130,1,3,33.0,7.8958,0,0
131,3,3,20.0,7.05,0,0
132,3,3,47.0,14.5,1,0
133,3,2,29.0,26.0,1,1
134,3,2,25.0,13.0,0,0
135,1,2,23.0,15.0458,0,0
136,3,1,19.0,26.2833,1,1
137,3,1,37.0,53.1,0,0
138,3,3,16.0,9.2167,0,0
139,1,1,24.0,79.2,0,0
140,1,3,29.69911764705882,15.2458,1,0
141,3,3,22.0,7.75,1,1
142,3,3,24.0,15.85,1,1
143,2,3,19.0,6.75,0,0
144,3,2,18.0,11.5,0,0
145,3,2,19.0,36.75,0,0
146,3,3,27.0,7.7958,0,1
147,3,3,9.0,34.375,1,0
148,3,2,36.5,26.0,0,0
149,3,2,42.0,13.0,0,0
150,3,2,51.0,12.525,0,0
151,3,1,22.0,66.6,1,1
152,3,3,55.5,8.05,0,0
153,3,3,40.5,14.5,0,0
154,3,3,29.69911764705882,7.3125,0,0
155,1,1,51.0,61.3792,0,0
156,2,3,16.0,7.7333,1,1
157,3,3,30.0,8.05,0,0
158,3,3,29.69911764705882,8.6625,0,0
159,3,3,29.69911764705882,69.55,0,0
160,3,3,44.0,16.1,0,0
161,3,2,40.0,15.75,1,1
162,3,3,26.0,7.775,0,0
163,3,3,17.0,8.6625,0,0
164,3,3,1.0,39.6875,0,0
165,3,3,9.0,20.525,0,1
166,3,1,29.69911764705882,55.0,1,1
167,3,3,45.0,27.9,1,0
168,3,1,29.69911764705882,25.925,0,0
169,3,3,28.0,56.4958,0,0
170,3,1,61.0,33.5,0,0
171,2,3,4.0,29.125,0,0
172,3,3,1.0,11.1333,1,1
173,3,3,21.0,7.925,0,0
174,1,1,56.0,30.6958,0,0
175,3,3,18.0,7.8542,0,0
176,3,3,29.69911764705882,25.4667,0,0
177,1,1,50.0,28.7125,1,0
178,3,2,30.0,13.0,0,0
179,3,3,36.0,0.0,0,0
180,3,3,29.69911764705882,69.55,1,0
181,1,2,29.69911764705882,15.05,0,0
182,3,3,9.0,31.3875,0,0
183,3,2,1.0,39.0,0,1
184,3,3,4.0,22.025,1,1
185,3,1,29.69911764705882,50.0,0,0
186,2,3,29.69911764705882,15.5,1,1
187,3,1,45.0,26.55,0,1
188,2,3,40.0,15.5,0,0
189,3,3,36.0,7.8958,0,0
190,3,2,32.0,13.0,1,1
191,3,2,19.0,13.0,0,0
192,3,3,19.0,7.8542,1,1
193,3,2,3.0,26.0,0,1
194,1,1,44.0,27.7208,1,1
195,1,1,58.0,146.5208,1,1
196,2,3,29.69911764705882,7.75,0,0
197,3,3,42.0,8.4042,0,0
198,2,3,29.69911764705882,7.75,1,1
199,3,2,24.0,13.0,1,0
200,3,3,28.0,9.5,0,0
201,3,3,29.69911764705882,69.55,0,0
202,3,3,34.0,6.4958,0,0
203,1,3,45.5,7.225,0,0
204,3,3,18.0,8.05,0,1
205,3,3,2.0,10.4625,1,0
206,3,3,32.0,15.85,0,0
207,1,3,26.0,18.7875,0,1
208,2,3,16.0,7.75,1,1
209,1,1,40.0,31.0,0,1
210,3,3,24.0,7.05,0,0
211,3,2,35.0,21.0,1,1
212,3,3,22.0,7.25,0,0
213,3,2,30.0,13.0,0,0
214,2,3,29.69911764705882,7.75,0,0
215,1,1,31.0,113.275,1,1
216,3,3,27.0,7.925,1,1
217,3,2,42.0,27.0,0,0
218,1,1,32.0,76.2917,1,1
219,3,2,30.0,10.5,0,0
220,3,3,16.0,8.05,0,1
221,3,2,27.0,13.0,0,0
222,3,3,51.0,8.05,0,0
223,3,3,29.69911764705882,7.8958,0,0
224,3,1,38.0,90.0,0,1
225,3,3,22.0,9.35,0,0
226,3,2,19.0,10.5,0,1
227,3,3,20.5,7.25,0,0
228,3,2,18.0,13.0,0,0
229,3,3,29.69911764705882,25.4667,1,0
230,3,1,35.0,83.475,1,1
231,3,3,29.0,7.775,0,0
232,3,2,59.0,13.5,0,0
233,3,3,5.0,31.3875,1,1
234,3,2,24.0,10.5,0,0
235,3,3,29.69911764705882,7.55,1,0
236,3,2,44.0,26.0,0,0
237,3,2,8.0,26.25,1,1
238,3,2,19.0,10.5,0,0
239,3,2,33.0,12.275,0,0
240,1,3,29.69911764705882,14.4542,1,0
241,2,3,29.69911764705882,15.5,1,1
242,3,2,29.0,10.5,0,0
243,3,3,22.0,7.125,0,0
244,1,3,30.0,7.225,0,0
245,2,1,44.0,90.0,0,0
246,3,3,25.0,7.775,1,0
247,3,2,24.0,14.5,1,1
248,3,1,37.0,52.5542,0,1
249,3,2,54.0,26.0,0,0
250,3,3,29.69911764705882,7.25,0,0
251,3,3,29.0,10.4625,1,0
252,3,1,62.0,26.55,0,0
253,3,3,30.0,16.1,0,0
254,3,3,41.0,20.2125,1,0
255,1,3,29.0,15.2458,1,1
256,1,1,29.69911764705882,79.2,1,1
257,3,1,30.0,86.5,1,1
258,1,1,35.0,512.3292,1,1
259,3,2,50.0,26.0,1,1
260,2,3,29.69911764705882,7.75,0,0
261,3,3,3.0,31.3875,0,1
262,3,1,52.0,79.65,0,0
263,3,1,40.0,0.0,0,0
264,2,3,29.69911764705882,7.75,1,0
265,3,2,36.0,10.5,0,0
266,3,3,16.0,39.6875,0,0
267,3,3,25.0,7.775,0,1
268,3,1,58.0,153.4625,1,1
269,3,1,35.0,135.6333,1,1
270,3,1,29.69911764705882,31.0,0,0
271,3,3,25.0,0.0,0,1
272,3,2,41.0,19.5,1,1
273,1,1,37.0,29.7,0,0
274,2,3,29.69911764705882,7.75,1,1
275,3,1,63.0,77.9583,1,1
276,3,3,45.0,7.75,1,0
277,3,2,29.69911764705882,0.0,0,0
278,2,3,7.0,29.125,0,0
279,3,3,35.0,20.25,1,1
280,2,3,65.0,7.75,0,0
281,3,3,28.0,7.8542,0,0
282,3,3,16.0,9.5,0,0
283,3,3,19.0,8.05,0,1
284,3,1,29.69911764705882,26.0,0,0
285,1,3,33.0,8.6625,0,0
286,3,3,30.0,9.5,0,1
287,3,3,22.0,7.8958,0,0
288,3,2,42.0,13.0,0,1
289,2,3,22.0,7.75,1,1
290,3,1,26.0,78.85,1,1
291,1,1,19.0,91.0792,1,1
292,1,2,36.0,12.875,0,0
293,3,3,24.0,8.85,1,0
294,3,3,24.0,7.8958,0,0
295,1,1,29.69911764705882,27.7208,0,0
296,1,3,23.5,7.2292,0,0
297,3,1,2.0,151.55,1,0
298,3,1,29.69911764705882,30.5,0,1
299,1,1,50.0,247.5208,1,1
300,2,3,29.69911764705882,7.75,1,1
301,2,3,29.69911764705882,23.25,0,1
302,3,3,19.0,0.0,0,0
303,2,2,29.69911764705882,12.35,1,1
304,3,3,29.69911764705882,8.05,0,0
305,3,1,0.92,151.55,0,1
306,1,1,29.69911764705882,110.8833,1,1
307,1,1,17.0,108.9,1,1
308,1,2,30.0,24.0,0,0
309,1,1,30.0,56.9292,1,1
310,1,1,24.0,83.1583,1,1
311,1,1,18.0,262.375,1,1
312,3,2,26.0,26.0,1,0
313,3,3,28.0,7.8958,0,0
314,3,2,43.0,26.25,0,0
315,3,3,26.0,7.8542,1,1
316,3,2,24.0,26.0,1,1
317,3,2,54.0,14.0,0,0
318,3,1,31.0,164.8667,1,1
319,1,1,40.0,134.5,1,1
320,3,3,22.0,7.25,0,0
321,3,3,27.0,7.8958,0,0
322,2,2,30.0,12.35,1,1
323,3,2,22.0,29.0,1,1
324,3,3,29.69911764705882,69.55,0,0
325,1,1,36.0,135.6333,1,1
326,3,3,61.0,6.2375,0,0
327,3,2,36.0,13.0,1,1
328,3,3,31.0,20.525,1,1
329,1,1,16.0,57.9792,1,1
330,2,3,29.69911764705882,23.25,1,1
331,3,1,45.5,28.5,0,0
332,3,1,38.0,153.4625,0,0
333,3,3,16.0,18.0,0,0
334,3,1,29.69911764705882,133.65,1,1
335,3,3,29.69911764705882,7.8958,0,0
336,3,1,29.0,66.6,0,0
337,1,1,41.0,134.5,1,1
338,3,3,45.0,8.05,0,1
339,3,1,45.0,35.5,0,0
340,3,2,2.0,26.0,0,1
341,3,1,24.0,263.0,1,1
342,3,2,28.0,13.0,0,0
343,3,2,25.0,13.0,0,0
344,3,2,36.0,13.0,0,0
345,3,2,24.0,13.0,1,1
346,3,2,40.0,13.0,1,1
347,3,3,29.69911764705882,16.1,1,1
348,3,3,3.0,15.9,0,1
349,3,3,42.0,8.6625,0,0
350,3,3,23.0,9.225,0,0
351,3,1,29.69911764705882,35.0,0,0
352,1,3,15.0,7.2292,0,0
353,3,3,25.0,17.8,0,0
354,1,3,29.69911764705882,7.225,0,0
355,3,3,28.0,9.5,0,0
356,3,1,22.0,55.0,1,1
357,3,2,38.0,13.0,1,0
358,2,3,29.69911764705882,7.8792,1,1
359,2,3,29.69911764705882,7.8792,1,1
360,3,3,40.0,27.9,0,0
361,1,2,29.0,27.7208,0,0
362,1,3,45.0,14.4542,1,0
363,3,3,35.0,7.05,0,0
364,2,3,29.69911764705882,15.5,0,0
365,3,3,30.0,7.25,0,0
366,1,1,60.0,75.25,1,1
367,1,3,29.69911764705882,7.2292,1,1
368,2,3,29.69911764705882,7.75,1,1
369,1,1,24.0,69.3,1,1
370,1,1,25.0,55.4417,0,1
371,3,3,18.0,6.4958,0,0
372,3,3,19.0,8.05,0,0
373,1,1,22.0,135.6333,0,0
374,3,3,3.0,21.075,1,0
375,1,1,29.69911764705882,82.1708,1,1
376,3,3,22.0,7.25,1,1
377,1,1,27.0,211.5,0,0
378,1,3,20.0,4.0125,0,0
379,3,3,19.0,7.775,0,0
380,1,1,42.0,227.525,1,1
381,1,3,1.0,15.7417,1,1
382,3,3,32.0,7.925,0,0
383,3,1,35.0,52.0,1,1
384,3,3,29.69911764705882,7.8958,0,0
385,3,2,18.0,73.5,0,0
386,3,3,1.0,46.9,0,0
387,3,2,36.0,13.0,1,1
388,2,3,29.69911764705882,7.7292,0,0
389,1,2,17.0,12.0,1,1
390,3,1,36.0,120.0,0,1
391,3,3,21.0,7.7958,0,1
392,3,3,28.0,7.925,0,0
393,1,1,23.0,113.275,1,1
394,3,3,24.0,16.7,1,1
395,3,3,22.0,7.7958,0,0
396,3,3,31.0,7.8542,1,0
397,3,2,46.0,26.0,0,0
398,3,2,23.0,10.5,0,0
399,3,2,28.0,12.65,1,1
400,3,3,39.0,7.925,0,1
401,3,3,26.0,8.05,0,0
402,3,3,21.0,9.825,1,0
403,3,3,28.0,15.85,0,0
404,3,3,20.0,8.6625,1,0
405,3,2,34.0,21.0,0,0
406,3,3,51.0,7.75,0,0
407,3,2,3.0,18.75,0,1
408,3,3,21.0,7.775,0,0
409,3,3,29.69911764705882,25.4667,1,0
410,3,3,29.69911764705882,7.8958,0,0
411,2,3,29.69911764705882,6.8583,0,0
412,2,1,33.0,90.0,1,1
413,3,2,29.69911764705882,0.0,0,0
414,3,3,44.0,7.925,0,1
415,3,3,29.69911764705882,8.05,1,0
416,3,2,34.0,32.5,1,1
417,3,2,18.0,13.0,1,1
418,3,2,30.0,13.0,0,0
419,3,3,10.0,24.15,1,0
420,1,3,29.69911764705882,7.8958,0,0
421,2,3,21.0,7.7333,0,0
422,3,3,29.0,7.875,0,0
423,3,3,28.0,14.4,1,0
424,3,3,18.0,20.2125,0,0
425,3,3,29.69911764705882,7.25,0,0
426,3,2,28.0,26.0,1,1
427,3,2,19.0,26.0,1,1
428,2,3,29.69911764705882,7.75,0,0
429,3,3,32.0,8.05,0,1
430,3,1,28.0,26.55,0,1
431,3,3,29.69911764705882,16.1,1,1
432,3,2,42.0,26.0,1,1
433,3,3,17.0,7.125,0,0
434,3,1,50.0,55.9,0,0
435,3,1,14.0,120.0,1,1
436,3,3,21.0,34.375,1,0
437,3,2,24.0,18.75,1,1
438,3,1,64.0,263.0,0,0
439,3,2,31.0,10.5,0,0
440,3,2,45.0,26.25,1,1
441,3,3,20.0,9.5,0,0
442,3,3,25.0,7.775,0,0
443,3,2,28.0,13.0,1,1
444,3,3,29.69911764705882,8.1125,0,1
445,3,1,4.0,81.8583,0,1
446,3,2,13.0,19.5,1,1
