AVGDNSTRMQAMUTLZN,Bundle,Market,Node Health,IPDR DOWN,IPDR UP,Observation Count,Actual Rate,Predicted Rate
HIGH,Internet Only,Southern New England,"09 [16.5192, 100.0]","09 [40.36, 1134.70]","03 [0.26, 0.41]",1018,0.000000,0.0003342111416
LOW,Video/Internet/Voice,Michigan,"03 [0.5976, 1.1236]","02 [2.13, 5.13]","05 [0.59, 0.81]",348,0.002874,0.001375399843
ZERO,Video/Internet/Voice,Central States,"07 [5.4369, 9.1667]","05 [12.29, 16.54]","05 [0.59, 0.81]",78,0.000000,0.002704003886
LOW,Video/Internet/Voice,Mountain States,"01 [0.0, 0.0]","00 [-0.00, 0.02]","04 [0.41, 0.59]",14,0.000000,0.0005753609867
ZERO,Video/Internet/Voice,Eastern NC,"04 [1.1254, 1.9139]","02 [2.13, 5.13]","04 [0.41, 0.59]",412,0.002427,0.002103936752
> 0.95,Internet Only,Mountain States,"04 [1.1254, 1.9139]","07 [21.71, 28.68]","07 [1.13, 1.65]",57,0.000000,0.0003414055494
ZERO,Video/Internet/Voice,North Texas,"04 [1.1254, 1.9139]","03 [5.13, 8.53]","08 [1.65, 2.80]",23,0.000000,0.002492137475
> 0.95,Video/Internet/Voice,"Greenville, SC / Georgia","03 [0.5976, 1.1236]","06 [16.54, 21.71]","07 [1.13, 1.65]",33,0.000000,0.001393051952
ZERO,Internet/Voice,So Cal Central,"07 [5.4369, 9.1667]","08 [28.685, 40.36]","08 [1.65, 2.80]",130,0.000000,0.001043057496
ZERO,Internet/Voice,Midwest South,"05 [1.9149, 3.2258]","08 [28.685, 40.36]","09 [2.80, 440.64]",76,0.000000,0.001339452495
ZERO,Video/Internet,So Cal Central,NULL,"08 [28.685, 40.36]","05 [0.59, 0.81]",40,0.000000,0.001728544477
> 0.95,Internet Only,"Greenville, SC / Georgia","01 [0.0, 0.0]","05 [12.29, 16.54]","03 [0.26, 0.41]",133,0.000000,0.0004760091643
> 0.95,Video/Internet,Wisconsin,"03 [0.5976, 1.1236]","03 [5.13, 8.53]","08 [1.65, 2.80]",7,0.000000,0.0009114998186
> 0.95,Video/Internet/Voice,South Carolina,"09 [16.5192, 100.0]","00 [-0.00, 0.02]","00 [-0.00, 0.009]",10,0.000000,0.008120694484
> 0.95,Video/Internet/Voice,Sierra Nevada,"06 [3.2313, 5.4348]","01 [0.02, 2.13]","03 [0.26, 0.41]",8,0.000000,0.0009354626931
HIGH,Internet/Voice,Southern New England,NULL,"08 [28.685, 40.36]","04 [0.41, 0.59]",4,0.000000,0.0007117360366
> 0.95,Video/Internet,Southern New England,"04 [1.1254, 1.9139]","03 [5.13, 8.53]","08 [1.65, 2.80]",2,0.000000,0.001404733242
ZERO,Internet Only,Kansas City / Lincoln,NULL,"01 [0.02, 2.13]","00 [-0.00, 0.009]",545,0.001835,0.0008511837174
HIGH,Internet Only,TN / LA / AL,"03 [0.5976, 1.1236]","03 [5.13, 8.53]","09 [2.80, 440.64]",6642,0.000301,0.0004673296566
HIGH,Video/Internet/Voice,So Cal Central,"01 [0.0, 0.0]","03 [5.13, 8.53]","01 [0.009, 0.13]",10588,0.001322,0.001269050671
HIGH,Video/Internet/Voice,East Central Florida,"04 [1.1254, 1.9139]","01 [0.02, 2.13]","04 [0.41, 0.59]",3588,0.003344,0.002579782413
HIGH,Internet/Voice,Central Texas,"01 [0.0, 0.0]","08 [28.685, 40.36]","08 [1.65, 2.80]",25959,0.000462,0.0004578352767
HIGH,Internet Only,South Manhattan,"09 [16.5192, 100.0]","05 [12.29, 16.54]","07 [1.13, 1.65]",1806,0.000554,0.0003902052236
LOW,Internet Only,Mountain States,"05 [1.9149, 3.2258]","07 [21.71, 28.68]","08 [1.65, 2.80]",1700,0.000000,0.0002709277499
HIGH,Internet Only,Central NY,"03 [0.5976, 1.1236]","05 [12.29, 16.54]","01 [0.009, 0.13]",1613,0.000620,0.0003264605624
LOW,Internet/Voice,Western NY,"04 [1.1254, 1.9139]","04 [8.53, 12.29]","08 [1.65, 2.80]",61,0.000000,0.0006668291855
HIGH,Internet Only,Kansas City / Lincoln,"07 [5.4369, 9.1667]","08 [28.685, 40.36]","02 [0.13, 0.26]",1380,0.000000,0.0005099884013
LOW,Internet Only,Central NY,"07 [5.4369, 9.1667]","07 [21.71, 28.68]","08 [1.65, 2.80]",5014,0.000199,0.0003977955502
LOW,Internet Only,Southern New England,"06 [3.2313, 5.4348]","06 [16.54, 21.71]","02 [0.13, 0.26]",354,0.000000,0.0002710960992
LOW,Internet Only,Brooklyn / Queens,"07 [5.4369, 9.1667]","07 [21.71, 28.68]","07 [1.13, 1.65]",3699,0.000000,0.0004594505157
LOW,Internet Only,So Cal South,"02 [0.1236, 0.597]",NULL,NULL,2055,0.000000,0.0002984116913
ZERO,Video/Internet,Michigan,NULL,"03 [5.13, 8.53]","07 [1.13, 1.65]",235,0.000000,0.00102817232
ZERO,Internet Only,Central NY,"01 [0.0, 0.0]","02 [2.13, 5.13]","02 [0.13, 0.26]",1019,0.000981,0.0007034911986
ZERO,Internet Only,North Texas,"09 [16.5192, 100.0]","05 [12.29, 16.54]","07 [1.13, 1.65]",2291,0.003492,0.001646709802
HIGH,Video/Internet/Voice,North Texas,NULL,"05 [12.29, 16.54]","07 [1.13, 1.65]",226,0.000000,0.001957494937
HIGH,Internet/Voice,So Cal South,"01 [0.0, 0.0]","00 [-0.00, 0.02]","03 [0.26, 0.41]",83,0.000000,0.0004665400727
ZERO,Video/Internet/Voice,Western NY,"09 [16.5192, 100.0]","05 [12.29, 16.54]","08 [1.65, 2.80]",102,0.000000,0.00191043628
HIGH,Internet Only,Midwest South,"03 [0.5976, 1.1236]","08 [28.685, 40.36]","01 [0.009, 0.13]",80,0.000000,0.0004506986746
LOW,Video/Internet/Voice,West Central Florida,"03 [0.5976, 1.1236]",NULL,NULL,220,0.000000,0.001142624761
ZERO,Video/Internet,Sierra Nevada,"05 [1.9149, 3.2258]","03 [5.13, 8.53]","03 [0.26, 0.41]",152,0.000000,0.001366205201
ZERO,Video/Internet,Eastern NY,"07 [5.4369, 9.1667]","03 [5.13, 8.53]","07 [1.13, 1.65]",88,0.000000,0.00114414448
HIGH,Video/Internet,South Carolina,"06 [3.2313, 5.4348]","01 [0.02, 2.13]","09 [2.80, 440.64]",575,0.000000,0.001338854549
LOW,Internet/Voice,TN / LA / AL,NULL,"06 [16.54, 21.71]","05 [0.59, 0.81]",40,0.000000,0.001068479064
> 0.95,Video/Internet,Michigan,"05 [1.9149, 3.2258]","08 [28.685, 40.36]","05 [0.59, 0.81]",20,0.000000,0.001136868209
ZERO,Internet Only,Wisconsin,"09 [16.5192, 100.0]","00 [-0.00, 0.02]","01 [0.009, 0.13]",74,0.000000,0.0004522334484
LOW,Video/Internet,Kentucky,"09 [16.5192, 100.0]","00 [-0.00, 0.02]","03 [0.26, 0.41]",3,0.000000,0.0005389523257
ZERO,Internet Only,Michigan,"01 [0.0, 0.0]","00 [-0.00, 0.02]","03 [0.26, 0.41]",5,0.000000,0.001560416075
HIGH,Video/Internet,Wisconsin,"06 [3.2313, 5.4348]","00 [-0.00, 0.02]","03 [0.26, 0.41]",39,0.000000,0.0005624584775
> 0.95,Video/Internet/Voice,West Central Florida,"06 [3.2313, 5.4348]","04 [8.53, 12.29]","03 [0.26, 0.41]",4,0.000000,0.002619530832
> 0.95,Video/Internet/Voice,So Cal South,"09 [16.5192, 100.0]","04 [8.53, 12.29]","04 [0.41, 0.59]",5,0.000000,0.002744332908
HIGH,Internet Only,So Cal North,"01 [0.0, 0.0]","04 [8.53, 12.29]","02 [0.13, 0.26]",153998,0.000214,0.0002728334675
HIGH,Internet Only,South Texas,"08 [9.1684, 16.5179]","04 [8.53, 12.29]","05 [0.59, 0.81]",60681,0.000478,0.0004438517906
LOW,Video/Internet,So Cal South,"03 [0.5976, 1.1236]","03 [5.13, 8.53]","03 [0.26, 0.41]",9717,0.000823,0.0008446967722
HIGH,Internet Only,North Texas,"03 [0.5976, 1.1236]","04 [8.53, 12.29]","02 [0.13, 0.26]",64869,0.000385,0.0004685039577
HIGH,Internet Only,Pacific Northwest,"02 [0.1236, 0.597]","03 [5.13, 8.53]","03 [0.26, 0.41]",59763,0.000251,0.0002591768668
HIGH,Video/Internet/Voice,East Central Florida,"01 [0.0, 0.0]","02 [2.13, 5.13]","06 [0.81, 1.13]",11569,0.001556,0.001937794596
HIGH,Video/Internet/Voice,West Florida,"06 [3.2313, 5.4348]","02 [2.13, 5.13]","01 [0.009, 0.13]",29533,0.001896,0.001942339866
HIGH,Internet Only,Minnesota,"02 [0.1236, 0.597]","09 [40.36, 1134.70]","07 [1.13, 1.65]",26397,0.000152,0.0003188631734
HIGH,Video/Internet/Voice,So Cal South,"06 [3.2313, 5.4348]","05 [12.29, 16.54]","09 [2.80, 440.64]",7907,0.001138,0.001035426894
LOW,Internet Only,East Central Florida,"01 [0.0, 0.0]","01 [0.02, 2.13]","05 [0.59, 0.81]",1325,0.000755,0.000455217563
LOW,Video/Internet,So Cal North,"08 [9.1684, 16.5179]","09 [40.36, 1134.70]","07 [1.13, 1.65]",5762,0.000521,0.0008867168612
LOW,Video/Internet/Voice,West Central Florida,"03 [0.5976, 1.1236]","09 [40.36, 1134.70]","09 [2.80, 440.64]",2877,0.000695,0.001226604966
HIGH,Internet/Voice,Central States,"08 [9.1684, 16.5179]","05 [12.29, 16.54]","03 [0.26, 0.41]",4371,0.000458,0.000774416427
HIGH,Video/Internet/Voice,Kentucky,NULL,"05 [12.29, 16.54]","02 [0.13, 0.26]",313,0.003195,0.002298161369
LOW,Internet Only,Sierra Nevada,"09 [16.5192, 100.0]","06 [16.54, 21.71]","09 [2.80, 440.64]",937,0.000000,0.0003574776808
> 0.95,Video/Internet,Midwest Central,"06 [3.2313, 5.4348]","06 [16.54, 21.71]","06 [0.81, 1.13]",44,0.000000,0.0007343407296
LOW,Video/Internet,Southern New England,"06 [3.2313, 5.4348]","04 [8.53, 12.29]","07 [1.13, 1.65]",613,0.000000,0.0007306054576
HIGH,Internet/Voice,Western NY,"07 [5.4369, 9.1667]","09 [40.36, 1134.70]","04 [0.41, 0.59]",1759,0.000569,0.0006869323484
ZERO,Internet Only,Eastern NC,"03 [0.5976, 1.1236]","07 [21.71, 28.68]","05 [0.59, 0.81]",1436,0.000000,0.0007587525727
LOW,Internet Only,Hawaii,"08 [9.1684, 16.5179]","04 [8.53, 12.29]","06 [0.81, 1.13]",817,0.000000,0.0004308585238
LOW,Internet Only,Kansas City / Lincoln,"03 [0.5976, 1.1236]","09 [40.36, 1134.70]","03 [0.26, 0.41]",224,0.000000,0.0004746240065
ZERO,Internet Only,Western NY,"03 [0.5976, 1.1236]","01 [0.02, 2.13]","02 [0.13, 0.26]",172,0.000000,0.0008725560356
ZERO,Video/Internet/Voice,So Cal North,"09 [16.5192, 100.0]","03 [5.13, 8.53]","03 [0.26, 0.41]",150,0.000000,0.002190037968
LOW,Video/Internet,Northern New England,"03 [0.5976, 1.1236]","07 [21.71, 28.68]","04 [0.41, 0.59]",617,0.001621,0.0006512344991
> 0.95,Internet Only,Midwest South,"02 [0.1236, 0.597]","05 [12.29, 16.54]","09 [2.80, 440.64]",83,0.000000,0.0007577045867
LOW,Internet/Voice,East Florida,"06 [3.2313, 5.4348]","07 [21.71, 28.68]","08 [1.65, 2.80]",69,0.000000,0.0006328102348
ZERO,Internet/Voice,TN / LA / AL,"02 [0.1236, 0.597]","05 [12.29, 16.54]","04 [0.41, 0.59]",28,0.000000,0.00103879436
ZERO,Video/Internet/Voice,Manhattan / Staten Is / Mt Ver,"07 [5.4369, 9.1667]","01 [0.02, 2.13]","02 [0.13, 0.26]",42,0.000000,0.003087269903
> 0.95,Internet Only,Midwest South,"02 [0.1236, 0.597]","01 [0.02, 2.13]","09 [2.80, 440.64]",10,0.000000,0.0004860340047
ZERO,Internet/Voice,Midwest Central,"02 [0.1236, 0.597]","02 [2.13, 5.13]","01 [0.009, 0.13]",48,0.000000,0.001118210185
ZERO,Internet/Voice,Central NY,"09 [16.5192, 100.0]","01 [0.02, 2.13]","02 [0.13, 0.26]",56,0.000000,0.001462375321
> 0.95,Video/Internet,Eastern NC,"01 [0.0, 0.0]","02 [2.13, 5.13]","07 [1.13, 1.65]",6,0.000000,0.001298822317
ZERO,Internet/Voice,Northern New England,"06 [3.2313, 5.4348]","01 [0.02, 2.13]","03 [0.26, 0.41]",17,0.000000,0.001148755025
LOW,Internet/Voice,Manhattan / Staten Is / Mt Ver,"09 [16.5192, 100.0]","01 [0.02, 2.13]","00 [-0.00, 0.009]",11,0.000000,0.0008828345662
> 0.95,Video/Internet/Voice,Central Texas,"03 [0.5976, 1.1236]","03 [5.13, 8.53]","02 [0.13, 0.26]",10,0.000000,0.001101075998
> 0.95,Internet Only,South Carolina,NULL,"02 [2.13, 5.13]","03 [0.26, 0.41]",4,0.000000,0.001193506137
HIGH,Internet Only,So Cal Central,"03 [0.5976, 1.1236]","07 [21.71, 28.68]","04 [0.41, 0.59]",57892,0.000225,0.0002795123472
HIGH,Video/Internet,South Texas,"09 [16.5192, 100.0]","07 [21.71, 28.68]","04 [0.41, 0.59]",23481,0.000596,0.0009480323496
ZERO,Video/Internet/Voice,Western NY,NULL,"09 [40.36, 1134.70]","08 [1.65, 2.80]",7425,0.000539,0.001086069947
HIGH,Video/Internet,Southern New England,"02 [0.1236, 0.597]","08 [28.685, 40.36]","07 [1.13, 1.65]",4185,0.000717,0.0006368034421
HIGH,Video/Internet,Central States,"02 [0.1236, 0.597]","02 [2.13, 5.13]","05 [0.59, 0.81]",7611,0.001314,0.001121169552
LOW,Video/Internet,West Florida,NULL,"00 [-0.00, 0.02]","00 [-0.00, 0.009]",461,0.006508,0.003908466167
LOW,Video/Internet/Voice,Eastern NC,"06 [3.2313, 5.4348]","05 [12.29, 16.54]","05 [0.59, 0.81]",2134,0.000937,0.001321050309
LOW,Internet/Voice,"Greenville, SC / Georgia","01 [0.0, 0.0]","02 [2.13, 5.13]","01 [0.009, 0.13]",1434,0.000000,0.0005139711461
> 0.95,Internet Only,Central States,"04 [1.1254, 1.9139]","07 [21.71, 28.68]","07 [1.13, 1.65]",276,0.000000,0.0009543238458
LOW,Video/Internet,Manhattan / Staten Is / Mt Ver,"09 [16.5192, 100.0]","02 [2.13, 5.13]","04 [0.41, 0.59]",295,0.006780,0.001259728097
> 0.95,Internet Only,Central Texas,"04 [1.1254, 1.9139]","04 [8.53, 12.29]","06 [0.81, 1.13]",54,0.000000,0.0005240547392
HIGH,Internet/Voice,Northern Ohio,"09 [16.5192, 100.0]","02 [2.13, 5.13]","08 [1.65, 2.80]",385,0.002597,0.0005746130403
HIGH,Internet/Voice,Wisconsin,"02 [0.1236, 0.597]","00 [-0.00, 0.02]","04 [0.41, 0.59]",3,0.000000,0.000159274091
ZERO,Internet Only,So Cal South,NULL,"00 [-0.00, 0.02]","01 [0.009, 0.13]",90,0.000000,0.0008323034793
ZERO,Video/Internet,So Cal Central,"02 [0.1236, 0.597]","04 [8.53, 12.29]","08 [1.65, 2.80]",66,0.000000,0.001062862464
> 0.95,Video/Internet/Voice,So Cal South,"01 [0.0, 0.0]","05 [12.29, 16.54]","08 [1.65, 2.80]",14,0.000000,0.00204669397
ZERO,Video/Internet,Midwest South,"02 [0.1236, 0.597]","03 [5.13, 8.53]","06 [0.81, 1.13]",18,0.000000,0.001198342022
LOW,Video/Internet/Voice,Kentucky,"07 [5.4369, 9.1667]","09 [40.36, 1134.70]","02 [0.13, 0.26]",26,0.000000,0.001403568396
ZERO,Internet Only,Pacific Northwest,NULL,"02 [2.13, 5.13]","05 [0.59, 0.81]",559,0.000000,0.0007482986228
ZERO,Video/Internet/Voice,So Cal South,"04 [1.1254, 1.9139]","05 [12.29, 16.54]","02 [0.13, 0.26]",103,0.000000,0.003018221842
ZERO,Video/Internet,Mountain States,"04 [1.1254, 1.9139]","03 [5.13, 8.53]","04 [0.41, 0.59]",43,0.000000,0.001240813882
> 0.95,Internet Only,Central Texas,"01 [0.0, 0.0]","02 [2.13, 5.13]","01 [0.009, 0.13]",79,0.000000,0.00065179373
HIGH,Video/Internet/Voice,"Greenville, SC / Georgia",NULL,"04 [8.53, 12.29]","09 [2.80, 440.64]",68,0.000000,0.00133075135
> 0.95,Internet Only,West Florida,"03 [0.5976, 1.1236]","00 [-0.00, 0.02]","01 [0.009, 0.13]",14,0.000000,0.0004093355375
ZERO,Video/Internet/Voice,Midwest Central,"02 [0.1236, 0.597]","07 [21.71, 28.68]","04 [0.41, 0.59]",57,0.000000,0.002271926725
ZERO,Internet/Voice,So Cal South,"02 [0.1236, 0.597]","04 [8.53, 12.29]","09 [2.80, 440.64]",19,0.000000,0.00138080517
> 0.95,Internet/Voice,Wisconsin,"01 [0.0, 0.0]","03 [5.13, 8.53]","05 [0.59, 0.81]",10,0.000000,0.0004520327347
> 0.95,Internet Only,Pacific Northwest,"02 [0.1236, 0.597]","08 [28.685, 40.36]","05 [0.59, 0.81]",18,0.000000,0.0003330191009
ZERO,Internet Only,Southern New England,"05 [1.9149, 3.2258]","02 [2.13, 5.13]","09 [2.80, 440.64]",6,0.000000,0.000926141744
LOW,Internet Only,Manhattan / Staten Is / Mt Ver,"08 [9.1684, 16.5179]","08 [28.685, 40.36]","01 [0.009, 0.13]",2,0.000000,0.0004019393106
> 0.95,Internet Only,East Florida,"05 [1.9149, 3.2258]","06 [16.54, 21.71]","09 [2.80, 440.64]",5,0.000000,0.001115367278
ZERO,Internet/Voice,So Cal North,"01 [0.0, 0.0]",NULL,NULL,5676,0.000529,0.0005148210939
LOW,Internet Only,So Cal South,"07 [5.4369, 9.1667]","09 [40.36, 1134.70]","06 [0.81, 1.13]",6379,0.000157,0.0003548166786
HIGH,Internet Only,Midwest South,"02 [0.1236, 0.597]","07 [21.71, 28.68]","07 [1.13, 1.65]",18304,0.000328,0.0005036072562
HIGH,Internet/Voice,So Cal Central,"05 [1.9149, 3.2258]","01 [0.02, 2.13]","03 [0.26, 0.41]",2594,0.000771,0.0005019266972
LOW,Internet Only,Kentucky,"04 [1.1254, 1.9139]","04 [8.53, 12.29]","04 [0.41, 0.59]",6544,0.000458,0.0004871362541
ZERO,Internet/Voice,Central Texas,NULL,"07 [21.71, 28.68]","04 [0.41, 0.59]",351,0.000000,0.001150165605
LOW,Internet Only,"Greenville, SC / Georgia","03 [0.5976, 1.1236]","08 [28.685, 40.36]","09 [2.80, 440.64]",4896,0.000204,0.0004465344812
LOW,Internet Only,Eastern NY,"09 [16.5192, 100.0]","07 [21.71, 28.68]","08 [1.65, 2.80]",3061,0.000000,0.0004109435675
LOW,Video/Internet,Western NC,"03 [0.5976, 1.1236]","04 [8.53, 12.29]","02 [0.13, 0.26]",1234,0.002431,0.0009825296725
ZERO,Internet Only,TN / LA / AL,"05 [1.9149, 3.2258]","06 [16.54, 21.71]","09 [2.80, 440.64]",577,0.000000,0.0009140612165
ZERO,Internet/Voice,Central NY,"05 [1.9149, 3.2258]","04 [8.53, 12.29]","03 [0.26, 0.41]",86,0.000000,0.001174973987
> 0.95,Video/Internet/Voice,Eastern NC,"08 [9.1684, 16.5179]","05 [12.29, 16.54]","01 [0.009, 0.13]",10,0.000000,0.001080861167
ZERO,Video/Internet,So Cal Central,"01 [0.0, 0.0]","05 [12.29, 16.54]","08 [1.65, 2.80]",745,0.001342,0.0009884378933
ZERO,Video/Internet/Voice,Central Texas,"06 [3.2313, 5.4348]","05 [12.29, 16.54]","04 [0.41, 0.59]",61,0.000000,0.002471119057
ZERO,Internet Only,Western NY,"06 [3.2313, 5.4348]","03 [5.13, 8.53]","05 [0.59, 0.81]",263,0.000000,0.001006107662
ZERO,Internet Only,Mountain States,"06 [3.2313, 5.4348]","07 [21.71, 28.68]","08 [1.65, 2.80]",120,0.008333,0.0005540315423
LOW,Internet/Voice,South Carolina,"03 [0.5976, 1.1236]","05 [12.29, 16.54]","09 [2.80, 440.64]",72,0.000000,0.0007003063682
LOW,Video/Internet,West Florida,"09 [16.5192, 100.0]","04 [8.53, 12.29]","06 [0.81, 1.13]",575,0.001739,0.0009033592585
ZERO,Internet Only,Sierra Nevada,"06 [3.2313, 5.4348]","02 [2.13, 5.13]","06 [0.81, 1.13]",80,0.000000,0.000785964247
HIGH,Video/Internet,Midwest Central,"07 [5.4369, 9.1667]","09 [40.36, 1134.70]","01 [0.009, 0.13]",29,0.000000,0.0009256169886
LOW,Internet/Voice,Western NY,"08 [9.1684, 16.5179]","09 [40.36, 1134.70]","07 [1.13, 1.65]",325,0.000000,0.0007353811277
ZERO,Video/Internet/Voice,Kansas City / Lincoln,"01 [0.0, 0.0]","04 [8.53, 12.29]","01 [0.009, 0.13]",46,0.000000,0.00202210918
LOW,Video/Internet/Voice,Midwest South,"08 [9.1684, 16.5179]","00 [-0.00, 0.02]","02 [0.13, 0.26]",9,0.000000,0.001482125355
> 0.95,Video/Internet,Central States,"03 [0.5976, 1.1236]","01 [0.02, 2.13]","04 [0.41, 0.59]",25,0.000000,0.003895681582
> 0.95,Internet Only,South Carolina,"07 [5.4369, 9.1667]","04 [8.53, 12.29]","01 [0.009, 0.13]",9,0.000000,0.0005924002389
LOW,Video/Internet,North Texas,"02 [0.1236, 0.597]","00 [-0.00, 0.02]","01 [0.009, 0.13]",8,0.000000,0.003232185578
> 0.95,Video/Internet,Western NY,"05 [1.9149, 3.2258]","03 [5.13, 8.53]","06 [0.81, 1.13]",9,0.000000,0.001179624062
> 0.95,Video/Internet,Hawaii,"01 [0.0, 0.0]","06 [16.54, 21.71]","06 [0.81, 1.13]",3,0.000000,0.000610198078
HIGH,Internet Only,East Central Florida,"04 [1.1254, 1.9139]","03 [5.13, 8.53]","00 [-0.00, 0.009]",9,0.000000,0.0007708197534
ZERO,Internet Only,West Central Florida,"09 [16.5192, 100.0]",NULL,NULL,9219,0.000325,0.0004984608478
HIGH,Video/Internet/Voice,South Texas,"01 [0.0, 0.0]","08 [28.685, 40.36]","04 [0.41, 0.59]",10678,0.000749,0.001042839978
HIGH,Video/Internet,Minnesota,"03 [0.5976, 1.1236]","08 [28.685, 40.36]","07 [1.13, 1.65]",16176,0.000185,0.0005079344242
HIGH,Internet Only,South Manhattan,"04 [1.1254, 1.9139]","04 [8.53, 12.29]","05 [0.59, 0.81]",8928,0.000336,0.0002734280776
LOW,Internet Only,So Cal South,"01 [0.0, 0.0]","04 [8.53, 12.29]","04 [0.41, 0.59]",91957,0.000196,0.0002468784343
LOW,Video/Internet/Voice,Midwest South,"04 [1.1254, 1.9139]","04 [8.53, 12.29]","06 [0.81, 1.13]",543,0.005525,0.001670890864
HIGH,Internet/Voice,South Carolina,"04 [1.1254, 1.9139]","02 [2.13, 5.13]","04 [0.41, 0.59]",1783,0.000561,0.0006421233602
LOW,Internet Only,Southern New England,"04 [1.1254, 1.9139]","04 [8.53, 12.29]","05 [0.59, 0.81]",1400,0.000000,0.0002859270452
LOW,Internet Only,Eastern NC,"02 [0.1236, 0.597]","06 [16.54, 21.71]","05 [0.59, 0.81]",1112,0.000000,0.0004248626329
