AVGDNSTRMQAMUTLZN,Bundle,Market,Node Health,IPDR DOWN,IPDR UP,Observation Count,Actual Rate,Predicted Rate
ZERO,Internet Only,North Texas,"06 [3.2313, 5.4348]","08 [28.685, 40.36]","09 [2.80, 440.64]",2488,0.000402,0.001505697405
HIGH,Internet Only,TN / LA / AL,"01 [0.0, 0.0]","05 [12.29, 16.54]","01 [0.009, 0.13]",6082,0.000164,0.0003743584241
LOW,Internet Only,Northern New England,"03 [0.5976, 1.1236]","07 [21.71, 28.68]","08 [1.65, 2.80]",1709,0.000585,0.0003972169921
HIGH,Video/Internet,Western NC,"06 [3.2313, 5.4348]","02 [2.13, 5.13]","06 [0.81, 1.13]",9774,0.001739,0.001249818027
HIGH,Video/Internet/Voice,Kentucky,"04 [1.1254, 1.9139]","01 [0.02, 2.13]","04 [0.41, 0.59]",4116,0.000729,0.00190747485
LOW,Video/Internet/Voice,Midwest Central,"04 [1.1254, 1.9139]","01 [0.02, 2.13]","00 [-0.00, 0.009]",205,0.000000,0.001918781992
HIGH,Internet/Voice,So Cal North,"08 [9.1684, 16.5179]","06 [16.54, 21.71]","01 [0.009, 0.13]",128,0.000000,0.0005123134392
LOW,Internet Only,Minnesota,NULL,"09 [40.36, 1134.70]","08 [1.65, 2.80]",231,0.000000,0.0006268380464
> 0.95,Internet/Voice,Kentucky,"08 [9.1684, 16.5179]","08 [28.685, 40.36]","02 [0.13, 0.26]",18,0.055556,0.002251879879
> 0.95,Video/Internet,Kentucky,"09 [16.5192, 100.0]","09 [40.36, 1134.70]","06 [0.81, 1.13]",484,0.000000,0.001505385118
ZERO,Internet Only,East Florida,"04 [1.1254, 1.9139]","07 [21.71, 28.68]","07 [1.13, 1.65]",257,0.003891,0.001011136468
LOW,Video/Internet/Voice,South Carolina,"05 [1.9149, 3.2258]","06 [16.54, 21.71]","07 [1.13, 1.65]",603,0.003317,0.001115510782
LOW,Video/Internet,East Central Florida,"06 [3.2313, 5.4348]","01 [0.02, 2.13]","09 [2.80, 440.64]",113,0.000000,0.001672969722
LOW,Internet/Voice,East Florida,"09 [16.5192, 100.0]","07 [21.71, 28.68]","09 [2.80, 440.64]",134,0.000000,0.0006672675037
> 0.95,Internet Only,Central States,NULL,"08 [28.685, 40.36]","07 [1.13, 1.65]",31,0.000000,0.001210418685
ZERO,Internet/Voice,Kentucky,"02 [0.1236, 0.597]","05 [12.29, 16.54]","06 [0.81, 1.13]",15,0.000000,0.00133951946
LOW,Video/Internet,Manhattan / Staten Is / Mt Ver,"04 [1.1254, 1.9139]","09 [40.36, 1134.70]","01 [0.009, 0.13]",1,0.000000,0.0003938224416
> 0.95,Internet/Voice,Sierra Nevada,"04 [1.1254, 1.9139]","05 [12.29, 16.54]","03 [0.26, 0.41]",13,0.000000,0.0009763374998
HIGH,Video/Internet/Voice,So Cal South,"09 [16.5192, 100.0]","01 [0.02, 2.13]","01 [0.009, 0.13]",44834,0.002007,0.001860096562
HIGH,Internet/Voice,Kentucky,"06 [3.2313, 5.4348]","00 [-0.00, 0.02]","00 [-0.00, 0.009]",10675,0.006557,0.004620735321
HIGH,Video/Internet,Western NY,"04 [1.1254, 1.9139]","06 [16.54, 21.71]","05 [0.59, 0.81]",22991,0.000565,0.0008271343222
HIGH,Internet Only,Michigan,NULL,"03 [5.13, 8.53]","03 [0.26, 0.41]",967,0.000000,0.0006042037245
HIGH,Video/Internet,Eastern NC,"01 [0.0, 0.0]","02 [2.13, 5.13]","05 [0.59, 0.81]",29381,0.001123,0.001055798286
HIGH,Video/Internet,Central States,"07 [5.4369, 9.1667]","08 [28.685, 40.36]","04 [0.41, 0.59]",12197,0.001148,0.001090901317
HIGH,Video/Internet/Voice,North Texas,"01 [0.0, 0.0]","04 [8.53, 12.29]","07 [1.13, 1.65]",13837,0.001373,0.001389746548
HIGH,Video/Internet/Voice,West Florida,"01 [0.0, 0.0]","08 [28.685, 40.36]","07 [1.13, 1.65]",22766,0.000966,0.001091130603
LOW,Internet Only,South Texas,"06 [3.2313, 5.4348]","04 [8.53, 12.29]","08 [1.65, 2.80]",1741,0.000000,0.0004273367062
HIGH,Video/Internet/Voice,Brooklyn / Queens,"03 [0.5976, 1.1236]","02 [2.13, 5.13]","03 [0.26, 0.41]",28251,0.001239,0.001599137426
HIGH,Internet Only,TN / LA / AL,"09 [16.5192, 100.0]","01 [0.02, 2.13]","04 [0.41, 0.59]",7966,0.000251,0.0005053628461
HIGH,Internet Only,South Carolina,NULL,"06 [16.54, 21.71]","07 [1.13, 1.65]",1251,0.000000,0.0007547441202
LOW,Video/Internet,Central NY,"06 [3.2313, 5.4348]","06 [16.54, 21.71]","09 [2.80, 440.64]",977,0.001024,0.0006901829456
> 0.95,Internet Only,So Cal North,"05 [1.9149, 3.2258]","08 [28.685, 40.36]","08 [1.65, 2.80]",634,0.001577,0.0004995427524
LOW,Video/Internet/Voice,Southern New England,"01 [0.0, 0.0]","07 [21.71, 28.68]","05 [0.59, 0.81]",1338,0.000747,0.001077286111
HIGH,Internet/Voice,South Manhattan,"03 [0.5976, 1.1236]","08 [28.685, 40.36]","08 [1.65, 2.80]",727,0.000000,0.0004281993362
LOW,Video/Internet,West Central Florida,"08 [9.1684, 16.5179]","04 [8.53, 12.29]","07 [1.13, 1.65]",648,0.001543,0.001174309235
HIGH,Internet Only,West Florida,"04 [1.1254, 1.9139]","06 [16.54, 21.71]","01 [0.009, 0.13]",1363,0.000734,0.000460046516
LOW,Video/Internet,East Central Florida,"07 [5.4369, 9.1667]","06 [16.54, 21.71]","08 [1.65, 2.80]",755,0.000000,0.00087265095
ZERO,Internet/Voice,Eastern NC,"02 [0.1236, 0.597]","04 [8.53, 12.29]","02 [0.13, 0.26]",18,0.000000,0.001301182307
LOW,Internet/Voice,So Cal North,"08 [9.1684, 16.5179]","01 [0.02, 2.13]","07 [1.13, 1.65]",268,0.000000,0.0005866051735
ZERO,Internet/Voice,West Florida,"05 [1.9149, 3.2258]","09 [40.36, 1134.70]","07 [1.13, 1.65]",75,0.000000,0.001621204764
LOW,Internet/Voice,Midwest South,"08 [9.1684, 16.5179]","06 [16.54, 21.71]","03 [0.26, 0.41]",126,0.000000,0.0006410745585
ZERO,Video/Internet,East Central Florida,"08 [9.1684, 16.5179]","06 [16.54, 21.71]","04 [0.41, 0.59]",68,0.000000,0.001804759434
ZERO,Video/Internet,Kansas City / Lincoln,"09 [16.5192, 100.0]","07 [21.71, 28.68]","05 [0.59, 0.81]",332,0.003012,0.001931726173
LOW,Video/Internet,So Cal South,NULL,"01 [0.02, 2.13]","00 [-0.00, 0.009]",133,0.000000,0.00309381671
LOW,Video/Internet/Voice,Wisconsin,"01 [0.0, 0.0]","01 [0.02, 2.13]","07 [1.13, 1.65]",313,0.003195,0.001089056887
HIGH,Video/Internet/Voice,Mountain States,NULL,"05 [12.29, 16.54]","05 [0.59, 0.81]",75,0.000000,0.001675405308
> 0.95,Video/Internet/Voice,North Texas,"04 [1.1254, 1.9139]","02 [2.13, 5.13]","02 [0.13, 0.26]",42,0.000000,0.003160486873
> 0.95,Internet Only,Central NY,"01 [0.0, 0.0]","08 [28.685, 40.36]","09 [2.80, 440.64]",2,0.000000,0.000433509308
LOW,Internet Only,Northern Ohio,"02 [0.1236, 0.597]","07 [21.71, 28.68]","04 [0.41, 0.59]",72,0.000000,0.0003457079337
ZERO,Internet Only,So Cal South,"06 [3.2313, 5.4348]","04 [8.53, 12.29]","01 [0.009, 0.13]",83,0.000000,0.0006402301215
ZERO,Internet/Voice,Wisconsin,"03 [0.5976, 1.1236]","03 [5.13, 8.53]","05 [0.59, 0.81]",30,0.000000,0.0008732180913
LOW,Internet Only,"Greenville, SC / Georgia","04 [1.1254, 1.9139]","07 [21.71, 28.68]","01 [0.009, 0.13]",13,0.000000,0.000374314036
> 0.95,Video/Internet,South Carolina,"06 [3.2313, 5.4348]","02 [2.13, 5.13]","02 [0.13, 0.26]",26,0.000000,0.001322065623
ZERO,Internet/Voice,Kansas City / Lincoln,"08 [9.1684, 16.5179]","04 [8.53, 12.29]","06 [0.81, 1.13]",19,0.000000,0.001113303326
LOW,Video/Internet,Southern New England,"03 [0.5976, 1.1236]","07 [21.71, 28.68]","01 [0.009, 0.13]",4,0.000000,0.0004368522113
> 0.95,Internet Only,Central Texas,"04 [1.1254, 1.9139]","07 [21.71, 28.68]","01 [0.009, 0.13]",4,0.000000,0.0003567692472
HIGH,Internet Only,Eastern NY,"07 [5.4369, 9.1667]","03 [5.13, 8.53]","01 [0.009, 0.13]",14179,0.000212,0.0003113708197
HIGH,Video/Internet,Northern Ohio,"05 [1.9149, 3.2258]","05 [12.29, 16.54]","03 [0.26, 0.41]",42943,0.000396,0.0007603009556
HIGH,Internet Only,Sierra Nevada,"08 [9.1684, 16.5179]","04 [8.53, 12.29]","02 [0.13, 0.26]",19810,0.000656,0.0003285368178
HIGH,Video/Internet,East Central Florida,"02 [0.1236, 0.597]","02 [2.13, 5.13]","03 [0.26, 0.41]",7166,0.001395,0.001468846064
HIGH,Video/Internet,Sierra Nevada,"02 [0.1236, 0.597]","06 [16.54, 21.71]","07 [1.13, 1.65]",12792,0.000469,0.0006574177611
LOW,Video/Internet/Voice,Eastern NC,"05 [1.9149, 3.2258]","00 [-0.00, 0.02]","00 [-0.00, 0.009]",12774,0.002505,0.003111461579
HIGH,Video/Internet/Voice,Central States,"01 [0.0, 0.0]","03 [5.13, 8.53]","04 [0.41, 0.59]",50862,0.001396,0.00144900453
ZERO,Internet Only,North Texas,NULL,"06 [16.54, 21.71]","03 [0.26, 0.41]",5667,0.000706,0.001019280592
ZERO,Video/Internet,South Manhattan,"01 [0.0, 0.0]","05 [12.29, 16.54]","03 [0.26, 0.41]",222,0.000000,0.001259209599
HIGH,Video/Internet/Voice,Southern New England,"04 [1.1254, 1.9139]","09 [40.36, 1134.70]","09 [2.80, 440.64]",16170,0.000495,0.0009055616879
LOW,Internet Only,Michigan,"01 [0.0, 0.0]","08 [28.685, 40.36]","09 [2.80, 440.64]",10734,0.000373,0.0003688799687
LOW,Video/Internet,Central Texas,"01 [0.0, 0.0]","07 [21.71, 28.68]","09 [2.80, 440.64]",8487,0.000353,0.0006318431341
HIGH,Internet Only,Manhattan / Staten Is / Mt Ver,"05 [1.9149, 3.2258]","06 [16.54, 21.71]","09 [2.80, 440.64]",6950,0.000288,0.0004550646328
HIGH,Video/Internet/Voice,Western NY,"08 [9.1684, 16.5179]","00 [-0.00, 0.02]","01 [0.009, 0.13]",20827,0.002401,0.001896956449
HIGH,Internet/Voice,Mountain States,"05 [1.9149, 3.2258]","06 [16.54, 21.71]","05 [0.59, 0.81]",6614,0.000151,0.0003576194638
ZERO,Internet Only,TN / LA / AL,NULL,"02 [2.13, 5.13]","08 [1.65, 2.80]",938,0.001066,0.0009461015032
LOW,Video/Internet/Voice,So Cal North,"02 [0.1236, 0.597]","09 [40.36, 1134.70]","07 [1.13, 1.65]",696,0.001437,0.001053269505
LOW,Internet/Voice,Brooklyn / Queens,"02 [0.1236, 0.597]","01 [0.02, 2.13]","06 [0.81, 1.13]",170,0.000000,0.0004606516666
HIGH,Video/Internet,South Manhattan,"01 [0.0, 0.0]","08 [28.685, 40.36]","02 [0.13, 0.26]",366,0.000000,0.0006105282966
HIGH,Video/Internet/Voice,Southern New England,NULL,"06 [16.54, 21.71]","08 [1.65, 2.80]",147,0.000000,0.0008239121606
ZERO,Video/Internet/Voice,Hawaii,"03 [0.5976, 1.1236]","06 [16.54, 21.71]","06 [0.81, 1.13]",172,0.000000,0.001562910055
> 0.95,Internet/Voice,Midwest South,"06 [3.2313, 5.4348]","08 [28.685, 40.36]","09 [2.80, 440.64]",84,0.000000,0.0009194299701
HIGH,Internet Only,Brooklyn / Queens,NULL,"03 [5.13, 8.53]","01 [0.009, 0.13]",208,0.000000,0.0005637950898
> 0.95,Video/Internet,Kentucky,"01 [0.0, 0.0]","09 [40.36, 1134.70]","08 [1.65, 2.80]",599,0.003339,0.001263217714
LOW,Internet Only,Northern Ohio,"06 [3.2313, 5.4348]","07 [21.71, 28.68]","01 [0.009, 0.13]",27,0.000000,0.0003144139362
ZERO,Video/Internet/Voice,West Central Florida,NULL,"06 [16.54, 21.71]","03 [0.26, 0.41]",56,0.017857,0.00205923262
ZERO,Video/Internet,Michigan,"02 [0.1236, 0.597]","01 [0.02, 2.13]","09 [2.80, 440.64]",22,0.000000,0.001186433434
LOW,Video/Internet/Voice,Western NC,"02 [0.1236, 0.597]","06 [16.54, 21.71]","04 [0.41, 0.59]",75,0.000000,0.00126052577
ZERO,Video/Internet/Voice,Minnesota,"07 [5.4369, 9.1667]","07 [21.71, 28.68]","09 [2.80, 440.64]",3,0.000000,0.0009942463748
> 0.95,Internet Only,Central NY,"04 [1.1254, 1.9139]","08 [28.685, 40.36]","08 [1.65, 2.80]",1,0.000000,0.0003850422257
> 0.95,Internet Only,East Florida,"03 [0.5976, 1.1236]",NULL,NULL,1,0.000000,0.0007992527881
HIGH,Video/Internet/Voice,West Florida,"07 [5.4369, 9.1667]","03 [5.13, 8.53]","02 [0.13, 0.26]",24818,0.001169,0.001759856253
HIGH,Video/Internet/Voice,So Cal North,"04 [1.1254, 1.9139]","07 [21.71, 28.68]","05 [0.59, 0.81]",13299,0.001278,0.001095787008
HIGH,Video/Internet,Hawaii,"01 [0.0, 0.0]","02 [2.13, 5.13]","07 [1.13, 1.65]",12638,0.000950,0.001064458007
HIGH,Internet Only,Minnesota,"09 [16.5192, 100.0]","06 [16.54, 21.71]","08 [1.65, 2.80]",5843,0.000171,0.0003270805054
LOW,Internet Only,Brooklyn / Queens,"02 [0.1236, 0.597]","08 [28.685, 40.36]","09 [2.80, 440.64]",1635,0.000000,0.0005001991386
HIGH,Video/Internet/Voice,Eastern NC,"04 [1.1254, 1.9139]","05 [12.29, 16.54]","03 [0.26, 0.41]",17962,0.001559,0.001334098075
> 0.95,Internet Only,Midwest Central,"07 [5.4369, 9.1667]","06 [16.54, 21.71]","06 [0.81, 1.13]",161,0.000000,0.0004762444365
ZERO,Internet/Voice,North Texas,NULL,"05 [12.29, 16.54]","03 [0.26, 0.41]",793,0.002522,0.001415733067
> 0.95,Video/Internet,Midwest South,"03 [0.5976, 1.1236]","06 [16.54, 21.71]","02 [0.13, 0.26]",94,0.000000,0.001390419105
LOW,Video/Internet,West Florida,"06 [3.2313, 5.4348]","03 [5.13, 8.53]","06 [0.81, 1.13]",581,0.000000,0.001219929144
LOW,Video/Internet,Kentucky,NULL,"09 [40.36, 1134.70]","05 [0.59, 0.81]",501,0.001996,0.001510982832
ZERO,Video/Internet/Voice,Midwest Central,"08 [9.1684, 16.5179]","05 [12.29, 16.54]","07 [1.13, 1.65]",72,0.000000,0.00232432765
ZERO,Video/Internet,Hawaii,"09 [16.5192, 100.0]","05 [12.29, 16.54]","03 [0.26, 0.41]",62,0.000000,0.001984586997
ZERO,Video/Internet/Voice,South Texas,NULL,"04 [8.53, 12.29]","01 [0.009, 0.13]",20,0.000000,0.00247271653
ZERO,Internet/Voice,Western NC,"07 [5.4369, 9.1667]","07 [21.71, 28.68]","03 [0.26, 0.41]",79,0.000000,0.001329610778
LOW,Video/Internet,West Florida,"06 [3.2313, 5.4348]","00 [-0.00, 0.02]","01 [0.009, 0.13]",116,0.000000,0.0009523649306
> 0.95,Video/Internet/Voice,Southern New England,"07 [5.4369, 9.1667]","02 [2.13, 5.13]","04 [0.41, 0.59]",15,0.000000,0.001835297664
> 0.95,Internet/Voice,Midwest Central,"06 [3.2313, 5.4348]","02 [2.13, 5.13]","03 [0.26, 0.41]",11,0.000000,0.001069456511
ZERO,Internet/Voice,Pacific Northwest,"03 [0.5976, 1.1236]","02 [2.13, 5.13]","09 [2.80, 440.64]",4,0.000000,0.001218185974
> 0.95,Internet/Voice,So Cal North,"09 [16.5192, 100.0]","06 [16.54, 21.71]","04 [0.41, 0.59]",8,0.000000,0.0008681003929
LOW,Internet/Voice,Central Texas,"08 [9.1684, 16.5179]","06 [16.54, 21.71]","01 [0.009, 0.13]",5,0.000000,0.0005373558214
> 0.95,Internet Only,Western NY,"06 [3.2313, 5.4348]","00 [-0.00, 0.02]","01 [0.009, 0.13]",2,0.000000,0.0002868222663
LOW,Internet Only,Minnesota,"06 [3.2313, 5.4348]","08 [28.685, 40.36]","09 [2.80, 440.64]",3377,0.000000,0.0003218991993
LOW,Video/Internet,So Cal South,"09 [16.5192, 100.0]","01 [0.02, 2.13]","01 [0.009, 0.13]",9526,0.000735,0.001254973865
HIGH,Internet Only,Central NY,"05 [1.9149, 3.2258]","07 [21.71, 28.68]","06 [0.81, 1.13]",47446,0.000485,0.0003495034593
HIGH,Video/Internet,Kentucky,"06 [3.2313, 5.4348]","08 [28.685, 40.36]","03 [0.26, 0.41]",8173,0.000856,0.001125981459
LOW,Video/Internet/Voice,Brooklyn / Queens,"01 [0.0, 0.0]","03 [5.13, 8.53]","03 [0.26, 0.41]",18443,0.001030,0.001383592902
LOW,Video/Internet/Voice,So Cal South,"06 [3.2313, 5.4348]","03 [5.13, 8.53]","09 [2.80, 440.64]",1804,0.002772,0.001313612475
HIGH,Video/Internet/Voice,Brooklyn / Queens,"03 [0.5976, 1.1236]","06 [16.54, 21.71]","03 [0.26, 0.41]",4483,0.001115,0.001234826114
LOW,Internet Only,Hawaii,"01 [0.0, 0.0]","08 [28.685, 40.36]","03 [0.26, 0.41]",2222,0.000000,0.0003456403771
HIGH,Internet Only,Midwest Central,"04 [1.1254, 1.9139]","04 [8.53, 12.29]","09 [2.80, 440.64]",17167,0.000291,0.0004074402755
HIGH,Internet/Voice,East Florida,"04 [1.1254, 1.9139]","04 [8.53, 12.29]","06 [0.81, 1.13]",1925,0.000519,0.0006449277819
LOW,Internet/Voice,So Cal North,"05 [1.9149, 3.2258]","01 [0.02, 2.13]","02 [0.13, 0.26]",3848,0.000520,0.0005479693262
HIGH,Video/Internet/Voice,Pacific Northwest,"04 [1.1254, 1.9139]","04 [8.53, 12.29]","09 [2.80, 440.64]",1199,0.000834,0.001038674288
HIGH,Internet Only,West Central Florida,NULL,"07 [21.71, 28.68]","02 [0.13, 0.26]",7,0.000000,0.0007032685412
LOW,Video/Internet,Wisconsin,NULL,"02 [2.13, 5.13]","05 [0.59, 0.81]",72,0.000000,0.0009903390749
LOW,Video/Internet/Voice,Michigan,"09 [16.5192, 100.0]","02 [2.13, 5.13]","01 [0.009, 0.13]",672,0.001488,0.001266631997
HIGH,Internet Only,Wisconsin,"04 [1.1254, 1.9139]","07 [21.71, 28.68]","01 [0.009, 0.13]",761,0.000000,0.0002930598899
ZERO,Video/Internet,TN / LA / AL,"09 [16.5192, 100.0]","07 [21.71, 28.68]","08 [1.65, 2.80]",440,0.000000,0.001547574257
ZERO,Internet Only,Sierra Nevada,"03 [0.5976, 1.1236]","03 [5.13, 8.53]","02 [0.13, 0.26]",760,0.000000,0.0006743488906
LOW,Video/Internet,Wisconsin,"04 [1.1254, 1.9139]","08 [28.685, 40.36]","03 [0.26, 0.41]",912,0.000000,0.0005851296838
ZERO,Video/Internet,West Central Florida,"01 [0.0, 0.0]","06 [16.54, 21.71]","02 [0.13, 0.26]",189,0.000000,0.001617609034
LOW,Internet/Voice,Kansas City / Lincoln,"05 [1.9149, 3.2258]","02 [2.13, 5.13]","04 [0.41, 0.59]",299,0.000000,0.0006842513381
HIGH,Internet/Voice,Central States,"07 [5.4369, 9.1667]","00 [-0.00, 0.02]","04 [0.41, 0.59]",9,0.000000,0.0009952733479
> 0.95,Video/Internet,Kentucky,"06 [3.2313, 5.4348]","07 [21.71, 28.68]","02 [0.13, 0.26]",70,0.000000,0.001550621574
LOW,Internet/Voice,Midwest South,"04 [1.1254, 1.9139]","04 [8.53, 12.29]","02 [0.13, 0.26]",128,0.000000,0.0005637777315
> 0.95,Internet Only,TN / LA / AL,"08 [9.1684, 16.5179]","02 [2.13, 5.13]","08 [1.65, 2.80]",29,0.000000,0.0006937604377
> 0.95,Video/Internet/Voice,Eastern NC,"03 [0.5976, 1.1236]","08 [28.685, 40.36]","09 [2.80, 440.64]",47,0.021277,0.001260962379
LOW,Video/Internet/Voice,Central NY,"04 [1.1254, 1.9139]","00 [-0.00, 0.02]","04 [0.41, 0.59]",2,0.000000,0.0008189742326
ZERO,Internet/Voice,East Florida,"04 [1.1254, 1.9139]","04 [8.53, 12.29]","06 [0.81, 1.13]",36,0.000000,0.001367176526
ZERO,Internet Only,Southern New England,"05 [1.9149, 3.2258]","01 [0.02, 2.13]","02 [0.13, 0.26]",27,0.000000,0.0006121352875
ZERO,Video/Internet,Mountain States,"04 [1.1254, 1.9139]","04 [8.53, 12.29]","09 [2.80, 440.64]",11,0.000000,0.001086051895
ZERO,Video/Internet,Northern Ohio,"08 [9.1684, 16.5179]","07 [21.71, 28.68]","01 [0.009, 0.13]",18,0.000000,0.001791886732
ZERO,Video/Internet,Northern New England,"08 [9.1684, 16.5179]","09 [40.36, 1134.70]","01 [0.009, 0.13]",2,0.000000,0.0006123102769
> 0.95,Internet/Voice,Midwest Central,"08 [9.1684, 16.5179]","05 [12.29, 16.54]","03 [0.26, 0.41]",12,0.000000,0.0005360531506
> 0.95,Internet/Voice,West Central Florida,"05 [1.9149, 3.2258]","07 [21.71, 28.68]","09 [2.80, 440.64]",3,0.000000,0.001083376399
LOW,Video/Internet,Pacific Northwest,"01 [0.0, 0.0]","02 [2.13, 5.13]","05 [0.59, 0.81]",3622,0.000276,0.0009661865659
HIGH,Video/Internet/Voice,East Central Florida,"06 [3.2313, 5.4348]","00 [-0.00, 0.02]","01 [0.009, 0.13]",2073,0.005789,0.002921119492
LOW,Internet Only,Sierra Nevada,"06 [3.2313, 5.4348]","00 [-0.00, 0.02]","00 [-0.00, 0.009]",4111,0.003405,0.001639037478
HIGH,Video/Internet/Voice,Hawaii,"03 [0.5976, 1.1236]","03 [5.13, 8.53]","03 [0.26, 0.41]",19059,0.001259,0.001312331028
HIGH,Video/Internet/Voice,Hawaii,"03 [0.5976, 1.1236]","02 [2.13, 5.13]","07 [1.13, 1.65]",3660,0.000820,0.001406809942
LOW,Internet Only,Sierra Nevada,"06 [3.2313, 5.4348]","03 [5.13, 8.53]","05 [0.59, 0.81]",1576,0.000000,0.0002929772842
HIGH,Video/Internet/Voice,Pacific Northwest,"01 [0.0, 0.0]","02 [2.13, 5.13]","09 [2.80, 440.64]",2972,0.001682,0.001257934494
LOW,Video/Internet,South Manhattan,"02 [0.1236, 0.597]","02 [2.13, 5.13]","04 [0.41, 0.59]",2911,0.000344,0.0008869324057
HIGH,Video/Internet,Mountain States,"09 [16.5192, 100.0]","08 [28.685, 40.36]","05 [0.59, 0.81]",1953,0.000512,0.0005890514992
LOW,Internet/Voice,South Texas,"08 [9.1684, 16.5179]","08 [28.685, 40.36]","06 [0.81, 1.13]",733,0.001364,0.0006122646377
HIGH,Video/Internet,Southern New England,"08 [9.1684, 16.5179]","07 [21.71, 28.68]","05 [0.59, 0.81]",15320,0.000326,0.0006294154328
ZERO,Video/Internet/Voice,West Florida,"09 [16.5192, 100.0]","01 [0.02, 2.13]","01 [0.009, 0.13]",1030,0.003883,0.003475255387
HIGH,Internet/Voice,South Carolina,"05 [1.9149, 3.2258]","08 [28.685, 40.36]","03 [0.26, 0.41]",1308,0.001529,0.0006757670566
ZERO,Internet Only,Wisconsin,NULL,"06 [16.54, 21.71]","02 [0.13, 0.26]",1060,0.001887,0.0006686303395
